name,price,engineSize,year,mileage,fuelType,priceToEngineSizeRatio,link
Audi Q7 II,383783,3000,2018,1,Diesel,127928,otomoto.pl/oferta/audi-q7-taniej-o-87-847-wyprzedaz-rocznika-w-aso-sporthupos-tyln-skret-ID6BCQrO.html
Mercedes-Benz Klasa A W177,254484,1991,2019,10,Benzyna,127817,otomoto.pl/oferta/mercedes-benz-klasa-a-35-amg-fotele-amg-performance-306km-multibeam-led-ID6BOw1t.html
Audi Q3,253500,1984,2018,5,Benzyna,127772,otomoto.pl/oferta/audi-q3-45-tfsi-230-km-sline-stronic-quattro-led-kola-zimowe-gratis-ID6BA0HR.html
Mercedes-Benz GLC,382655,2996,2019,1,Benzyna,127722,otomoto.pl/oferta/mercedes-benz-glc-amg-wyjatkowy-samochod-glc-coupe-43-amg-zawila-3-krakow-ID6BPaHQ.html
Audi A6 C8,251274,1968,2018,8,Diesel,127680,otomoto.pl/oferta/audi-a6-audi-a6-c8-40-tdi-204-km-led-navi-skora-2018-ID6ByofF.html
BMW X3 G01,254900,2000,2018,5,Benzyna,127450,otomoto.pl/oferta/bmw-x3-xdrive-30i-m-sport-252-km-wyprzedaz-rocznika-w-aso-ID6BkrlH.html
Audi A6 C8,250029,1968,2018,5,Diesel,127047,otomoto.pl/oferta/audi-a6-limousine-40-tdi-204-km-s-tronic-4-kola-zimowe-gratis-ID6BENA3.html
Audi Q5 FY,248900,1968,2018,5,Diesel,126474,otomoto.pl/oferta/audi-q5-sport-40-tdi-190-km-quattro-s-tronic-pakiet-serwisowy-gratis-ID6BM1jY.html
Audi A6 C8,248500,1968,2018,5,Diesel,126270,otomoto.pl/oferta/audi-a6-sport-40-tdi-204-km-s-tronic-matrix-led-ubezpieczenie-gratis-ID6BMUBf.html
Jeep Wrangler III,252000,1998,2019,1,Benzyna,126126,otomoto.pl/oferta/jeep-wrangler-rubicon-unlimited-272km-kolor-wybor-abonament-2400-pln-netto-m-c-ID6BNxVd.html
Mercedes-Benz GLC,269900,2143,2018,5,Diesel,125945,otomoto.pl/oferta/mercedes-benz-glc-250d-4x4-salon-polska-fv-23-od-dealera-ID6BJO5k.html
Mercedes-Benz GLC,269900,2143,2018,5,Diesel,125945,otomoto.pl/oferta/mercedes-benz-glc-250d-4x4-salon-polska-fv-23-od-dealera-ID6BJO5G.html
Audi A6 C8,373500,2967,2018,5,Diesel,125885,otomoto.pl/oferta/audi-a6-avant-sport-50-tdi-286-km-quattro-tiptronic-kola-zimowe-gratis-ID6AZRUQ.html
Audi Q7 II,376673,3000,2018,1,Diesel,125558,otomoto.pl/oferta/audi-q7-taniej-o-82-547-wyprzedaz-rocznika-w-aso-pneumat-wnetrze-szare-ID6BzrIE.html
Mercedes-Benz Klasa E W213,249900,1991,2018,1,Benzyna,125515,otomoto.pl/oferta/mercedes-benz-klasa-e-e-350-wyprzedaz-2018-hud-bogata-opcja-01690-ddb-auto-bogacka-ID6BBMQw.html
BMW Seria 6 G32,374900,3000,2018,9055,Diesel,124967,otomoto.pl/oferta/bmw-seria-6-bmw-640d-xdrive-komfortowe-fotele-z-masaze-salon-bmw-inchcape-poznan-ID6BN8S0.html
BMW 6GT,374900,3000,2018,9055,Diesel,124967,otomoto.pl/oferta/bmw-6gt-bmw-640d-xdrive-komfortowe-fotele-z-masaze-salon-bmw-inchcape-poznan-ID6BP8LR.html
Audi Q5 FY,245900,1968,2017,17000,Diesel,124949,otomoto.pl/oferta/audi-q5-sport-2-0tdi-quattro-190km-s-line-ID6BCIRr.html
BMW Seria 4,249000,1998,2018,10300,Benzyna,124625,otomoto.pl/oferta/bmw-seria-4-430i-xdrive-cabrio-dealer-bmw-tlokinski-faktura-vat-ID6Btnyx.html
Audi A6 C8,244900,1968,2018,5,Diesel,124441,otomoto.pl/oferta/audi-a6-40-tdi-204-km-sport-matrix-led-side-assist-pakiet-serwisowy-gratis-ID6BrIZd.html
Audi RS3,310990,2500,2019,1,Benzyna,124396,otomoto.pl/oferta/audi-rs3-limousine-saloon-400-km-s-tronic-2019-ID6BPipy.html
Audi A6 C8,367690,2967,2018,5,Diesel,123927,otomoto.pl/oferta/audi-a6-avant-sport-50-tdi-quattro-286-km-tiptronic-4-kola-zimowe-gratis-ID6B8oU1.html
Mercedes-Benz GLE,676239,5461,2019,1,Benzyna,123831,otomoto.pl/oferta/mercedes-benz-gle-wyjatkowe-gle-63-amg-zawila-3-krakow-ID6BHFXt.html
Audi RS3,308990,2500,2019,10,Benzyna,123596,otomoto.pl/oferta/audi-rs3-sportback-400-km-s-tronic-2019-ID6BPf7G.html
Audi A6 C8,242500,1968,2018,5,Diesel,123222,otomoto.pl/oferta/audi-a6-40-tdi-204-km-side-assist-s-line-matrix-led-ubezpieczenie-gratis-ID6BjuqD.html
Audi Q3,184500,1500,2018,1,Benzyna,123000,otomoto.pl/oferta/audi-q3-advanced-35-tfsi-150-km-s-tronic-wyprzedaz-rocznika-w-aso-ID6BFpUL.html
BMW X4 G02,245100,1995,2019,1,Diesel,122857,otomoto.pl/oferta/bmw-x4-xdrive20d-model-xline-ID6BLFIo.html
Audi Q7 II,363900,2967,2018,5,Diesel,122649,otomoto.pl/oferta/audi-q7-50-tdi-286-km-quattro-tiptronic-pneumatyka-pakiet-serwisowy-gratis-ID6BpGuf.html
Audi A6 C8,240900,1968,2018,5,Diesel,122409,otomoto.pl/oferta/audi-a6-40-tdi-204-km-sport-sline-stronic-matrix-led-pakiet-serwisowy-gratis-ID6BrIlv.html
Mercedes-Benz SL R230,759900,6208,2010,19077,Benzyna,122407,otomoto.pl/oferta/mercedes-benz-sl-mercedes-benz-sls-63-amg-salon-pl-fv-marza-ID6BF3Xa.html
Audi RS3,305990,2500,2019,10,Benzyna,122396,otomoto.pl/oferta/audi-rs3-sportback-400-km-s-tronic-2019-ID6BPdZH.html
Mercedes-Benz GLE,364445,2987,2018,1,Diesel,122010,otomoto.pl/oferta/mercedes-benz-gle-oferta-specjalna-gle-coupe-350d-4matic-zawila-3-krakow-ID6BH0td.html
Audi Q3,182900,1500,2018,1,Benzyna,121933,otomoto.pl/oferta/audi-q3-advanced-35-tfsi-150-km-s-tronic-wyprzedaz-rocznika-w-aso-ID6Bz577.html
BMW X5 G05,364900,2995,2018,1000,Diesel,121836,otomoto.pl/oferta/bmw-x5-30d-mpakiet-salonpl-fv23-gwarancja2021r-individual-panorama-kamera-ID6BJFNT.html
BMW X4 G02,243100,2000,2018,5,Diesel,121550,otomoto.pl/oferta/bmw-x4-xdrive-20d-xline-190-km-wyprzedaz-rocznika-w-aso-ID6BvOvR.html
Audi Q2,169500,1395,2019,5,Benzyna,121505,otomoto.pl/oferta/audi-q2-2019-sport-35-tfsi-150-km-s-tronic-audi-centrum-lodz-ID6Bvd2H.html
Audi A6 C8,238990,1968,2018,5,Diesel,121438,otomoto.pl/oferta/audi-a6-limousine-sport-40-tdi-204-km-s-tronic-4-kola-zimowe-gratis-ID6BA0Hf.html
Mercedes-Benz Klasa C W205,181700,1497,2018,12796,Benzyna,121376,otomoto.pl/oferta/mercedes-benz-klasa-c-c200-4matic-pakiet-amg-panorama-led-salon-pl-kamera-cofania-ID6BPiNj.html
Peugeot 508,193900,1598,2018,1,Benzyna,121339,otomoto.pl/oferta/peugeot-508-nowy-peugeot-508-first-edition-225-km-automat-ze-wszyskim-ID6Bs2ey.html
Alfa Romeo Giulia,349889,2891,2018,1,Benzyna,121027,otomoto.pl/oferta/alfa-romeo-giulia-2-9-bi-turbo-510km-quadrifoglio-opcje-bogata-wersja-mega-wyprzedaz-ID6BPbwP.html
Audi A5 F5,239000,1984,2017,4,Benzyna,120464,otomoto.pl/oferta/audi-a5-2-0tfsi-252km-ID6BGV65.html
Audi Q5 FY,236900,1968,2018,5,Diesel,120376,otomoto.pl/oferta/audi-q5-sport-40-tdi-190-km-quattro-s-tronic-ubezpieczenie-gratis-ID6BlVyz.html
BMW X4 G02,239600,1995,2019,1,Diesel,120100,otomoto.pl/oferta/bmw-x4-xdrive20d-model-xline-ID6BLFHx.html
BMW Seria 5 G30,239900,2000,2018,6250,Hybryda,119950,otomoto.pl/oferta/bmw-seria-5-bmw-530e-iperformance-pakiet-sportowy-m-salon-bmw-poznan-ID6BN8Rh.html
Mercedes-Benz GLE,357606,2987,2018,5,Diesel,119721,otomoto.pl/oferta/mercedes-benz-gle-350d-4matic-coup-258km-wyprzedaz-rocznika-w-aso-2018-ID6BGV64.html
